Gene,Module
AURKC,c1_15
AURKC,c1_3
ATAD1,c1_15
ATAD1,c1_100
ATAD1,c1_340
ATAD1,c1_3
MT-ATP8,c1_545
MT-ATP8,c1_184
MT-ATP8,c1_17
MT-ATP8,c1_4
DNASE1L2,c1_186
DNASE1L2,c1_588
DNASE1L2,c1_17
DNASE1L2,c1_975
DNASE1L2,c1_4
WNK1,c1_667
WNK1,c1_1070
WNK1,c1_79
WNK1,c1_261
WNK1,c1_14
WNK1,c1_3
MFSD10,c1_3
MFSD10,c1_86
MFSD10,c1_15
KHDRBS1,c1_3
KHDRBS1,c1_15
KHDRBS1,c1_148
DAAM1,c1_2
DAAM1,c1_6
DAAM1,c1_223
DAAM1,c1_41
SF1,c1_4
SF1,c1_17
SF1,c1_186
SF1,c1_1157
SF1,c1_982
SF1,c1_590
RUNX2,c1_187
RUNX2,c1_17
RUNX2,c1_4
CD74,c1_2
CD74,c1_64
CD74,c1_9
BDNF,c1_15
BDNF,c1_3
BDNF,c1_115
BDNF,c1_391
DLAT,c1_86
DLAT,c1_15
DLAT,c1_291
DLAT,c1_3
PROM1,c1_15
PROM1,c1_3
PROM1,c1_140
PROM1,c1_440
ASIC1,c1_594
ASIC1,c1_186
ASIC1,c1_17
ASIC1,c1_4
ASIC1,c1_986
AGTRAP,c1_8
AGTRAP,c1_2
ETV1,c1_3
ETV1,c1_86
ETV1,c1_15
ETV1,c1_290
RBP1,c1_2
RBP1,c1_221
RBP1,c1_40
RBP1,c1_6
ARFGEF1,c1_105
ARFGEF1,c1_15
ARFGEF1,c1_364
ARFGEF1,c1_765
ARFGEF1,c1_3
NARS1,c1_703
NARS1,c1_15
NARS1,c1_291
NARS1,c1_3
NARS1,c1_86
CKB,c1_143
CKB,c1_15
CKB,c1_3
C1GALT1C1,c1_2
C1GALT1C1,c1_6
GLA,c1_3
GLA,c1_142
GLA,c1_15
GLA,c1_447
NYAP2,c1_130
NYAP2,c1_15
NYAP2,c1_426
NYAP2,c1_3
USP22,c1_3
USP22,c1_79
USP22,c1_267
USP22,c1_14
MYL12B,c1_3
MYL12B,c1_94
MYL12B,c1_15
MYL12B,c1_320
MYL12B,c1_730
CERT1,c1_563
CERT1,c1_184
CERT1,c1_17
CERT1,c1_4
PTP4A3,c1_186
PTP4A3,c1_17
PTP4A3,c1_4
PTP4A3,c1_968
PTP4A3,c1_586
RNF145,c1_186
RNF145,c1_586
RNF145,c1_4
RNF145,c1_17
IDH3B,c1_95
IDH3B,c1_324
IDH3B,c1_15
IDH3B,c1_3
SLC66A3,c1_242
SLC66A3,c1_2
SLC66A3,c1_9
SLC66A3,c1_63
CELF6,c1_17
CELF6,c1_4
CELF6,c1_184
CELF6,c1_572
TMEM178B,c1_3
TMEM178B,c1_15
TMEM178B,c1_704
TMEM178B,c1_86
TMEM178B,c1_292
TMEM38A,c1_17
TMEM38A,c1_621
TMEM38A,c1_4
TMEM38A,c1_188
GLS,c1_3
GLS,c1_385
GLS,c1_15
GLS,c1_112
ALS2CL,c1_286
ALS2CL,c1_14
ALS2CL,c1_83
ALS2CL,c1_3
TCAF1,c1_3
TCAF1,c1_15
TCAF1,c1_86
TCAF1,c1_293
ZMAT3,c1_103
ZMAT3,c1_752
ZMAT3,c1_15
ZMAT3,c1_354
ZMAT3,c1_3
ASIC4,c1_186
ASIC4,c1_17
ASIC4,c1_4
ASIC4,c1_587
GAD2,c1_4
GAD2,c1_598
GAD2,c1_17
GAD2,c1_187
DIXDC1,c1_186
DIXDC1,c1_1147
DIXDC1,c1_584
DIXDC1,c1_961
DIXDC1,c1_4
DIXDC1,c1_17
GSTA6,c1_14
GSTA6,c1_3
GSTA6,c1_82
MED1,c1_4
MED1,c1_557
MED1,c1_934
MED1,c1_17
MED1,c1_184
TRAPPC11,c1_145
TRAPPC11,c1_3
TRAPPC11,c1_454
TRAPPC11,c1_15
ADRA1D,c1_15
ADRA1D,c1_458
ADRA1D,c1_147
ADRA1D,c1_3
RABGAP1L,c1_105
RABGAP1L,c1_3
RABGAP1L,c1_762
RABGAP1L,c1_363
RABGAP1L,c1_15
NDUFA7,c1_38
NDUFA7,c1_5
SIN3B,c1_17
SIN3B,c1_4
SIN3B,c1_188
SIN3B,c1_610
SERTAD4,c1_187
SERTAD4,c1_994
SERTAD4,c1_4
SERTAD4,c1_17
SERTAD4,c1_598
TK2,c1_21
TK2,c1_5
DLGAP1,c1_117
DLGAP1,c1_794
DLGAP1,c1_397
DLGAP1,c1_15
DLGAP1,c1_3
RGS20,c1_4
RGS20,c1_16
RGS20,c1_175
SLC4A8,c1_3
SLC4A8,c1_15
SLC4A8,c1_89
SLC4A8,c1_305
KCNA1,c1_15
KCNA1,c1_120
KCNA1,c1_401
KCNA1,c1_3
ZFP597,c1_824
ZFP597,c1_130
ZFP597,c1_3
ZFP597,c1_15
ZFP597,c1_425
ESYT1,c1_188
ESYT1,c1_611
ESYT1,c1_17
ESYT1,c1_4
ESYT1,c1_1030
GRIK5,c1_2
GRIK5,c1_663
GRIK5,c1_11
GRIK5,c1_72
GRIK5,c1_254
NAPRT,c1_2
RORB,c1_3
RORB,c1_14
RORB,c1_276
RORB,c1_81
DENND5A,c1_262
DENND5A,c1_670
DENND5A,c1_79
DENND5A,c1_3
DENND5A,c1_14
TRIP6,c1_358
TRIP6,c1_3
TRIP6,c1_15
TRIP6,c1_104
SEPTIN5,c1_150
SEPTIN5,c1_15
SEPTIN5,c1_3
SEPTIN5,c1_466
FYCO1,c1_79
FYCO1,c1_14
FYCO1,c1_3
FYCO1,c1_264
GAB2,c1_1117
GAB2,c1_16
GAB2,c1_4
GAB2,c1_171
GAB2,c1_867
GAB2,c1_502
SEMA3F,c1_17
SEMA3F,c1_4
SEMA3F,c1_587
SEMA3F,c1_186
GDI1,c1_3
GDI1,c1_15
GDI1,c1_102
GDI1,c1_350
RNF165,c1_3
RNF165,c1_162
RNF165,c1_15
SAMD12,c1_3
SAMD12,c1_15
SAMD12,c1_121
TRPC4,c1_971
TRPC4,c1_1153
TRPC4,c1_586
TRPC4,c1_4
TRPC4,c1_186
TRPC4,c1_17
PRELID2,c1_188
PRELID2,c1_17
PRELID2,c1_612
PRELID2,c1_4
ZFP142,c1_208
ZFP142,c1_634
ZFP142,c1_26
ZFP142,c1_5
RAB10,c1_554
RAB10,c1_4
RAB10,c1_17
RAB10,c1_184
RAB10,c1_927
EXOC5,c1_549
EXOC5,c1_17
EXOC5,c1_4
EXOC5,c1_184
NIT1,c1_15
NIT1,c1_3
NIT1,c1_113
ZBTB6,c1_4
ZBTB6,c1_561
ZBTB6,c1_184
ZBTB6,c1_17
ACTR3B,c1_16
ACTR3B,c1_1121
ACTR3B,c1_504
ACTR3B,c1_171
ACTR3B,c1_4
ACTR3B,c1_871
GAD1,c1_187
GAD1,c1_598
GAD1,c1_4
GAD1,c1_17
HAPLN1,c1_16
HAPLN1,c1_4
HAPLN1,c1_172
HIF1A,c1_569
HIF1A,c1_951
HIF1A,c1_17
HIF1A,c1_184
HIF1A,c1_4
LAMC1,c1_16
LAMC1,c1_1119
LAMC1,c1_4
LAMC1,c1_867
LAMC1,c1_502
LAMC1,c1_171
PUS10,c1_5
PUS10,c1_32
HES5,c1_3
HES5,c1_14
HES5,c1_81
PANX2,c1_4
PANX2,c1_16
PANX2,c1_171
PURB,c1_81
PURB,c1_3
PURB,c1_14
SCFD2,c1_4
SCFD2,c1_584
SCFD2,c1_17
SCFD2,c1_186
SCFD2,c1_963
ADCY2,c1_16
ADCY2,c1_528
ADCY2,c1_175
ADCY2,c1_4
WWC3,c1_16
WWC3,c1_505
WWC3,c1_4
WWC3,c1_171
WFIKKN1,c1_17
WFIKKN1,c1_4
WFIKKN1,c1_187
COBLL1,c1_11
COBLL1,c1_2
COBLL1,c1_255
COBLL1,c1_73
TOLLIP,c1_702
TOLLIP,c1_86
TOLLIP,c1_15
TOLLIP,c1_3
TOLLIP,c1_291
RIF1,c1_4
RIF1,c1_519
RIF1,c1_16
RIF1,c1_174
FLOT1,c1_887
FLOT1,c1_175
FLOT1,c1_4
FLOT1,c1_525
FLOT1,c1_16
DGKH,c1_15
DGKH,c1_120
DGKH,c1_3
DNM3,c1_3
DNM3,c1_300
DNM3,c1_87
DNM3,c1_15
ZC3H12B,c1_15
ZC3H12B,c1_3
ZC3H12B,c1_361
ZC3H12B,c1_105
FAP,c1_410
FAP,c1_15
FAP,c1_125
FAP,c1_3
TMEM150B,c1_127
TMEM150B,c1_3
TMEM150B,c1_417
TMEM150B,c1_15
MYT1,c1_586
MYT1,c1_968
MYT1,c1_186
MYT1,c1_4
MYT1,c1_17
SLC6A15,c1_3
SLC6A15,c1_375
SLC6A15,c1_15
SLC6A15,c1_110
CRBN,c1_4
CRBN,c1_549
CRBN,c1_184
CRBN,c1_17
ANKRD33B,c1_323
ANKRD33B,c1_95
ANKRD33B,c1_3
ANKRD33B,c1_15
ST3GAL2,c1_591
ST3GAL2,c1_186
ST3GAL2,c1_1161
ST3GAL2,c1_985
ST3GAL2,c1_4
ST3GAL2,c1_17
DCDC2,c1_8
DCDC2,c1_53
DCDC2,c1_2
CCNH,c1_144
CCNH,c1_3
CCNH,c1_15
CCNH,c1_451
GABRB2,c1_4
GABRB2,c1_17
GABRB2,c1_611
GABRB2,c1_1030
GABRB2,c1_188
PHC3,c1_15
PHC3,c1_475
PHC3,c1_155
PHC3,c1_3
ING4,c1_15
ING4,c1_3
ING4,c1_86
SUGP1,c1_4
SUGP1,c1_184
SUGP1,c1_17
MKKS,c1_17
MKKS,c1_921
MKKS,c1_4
MKKS,c1_550
MKKS,c1_1129
MKKS,c1_184
ACER2,c1_138
ACER2,c1_15
ACER2,c1_3
SUB1,c1_33
SUB1,c1_5
TCF4,c1_961
TCF4,c1_1147
TCF4,c1_584
TCF4,c1_186
TCF4,c1_17
TCF4,c1_4
FCER1G,c1_90
FCER1G,c1_308
FCER1G,c1_3
FCER1G,c1_15
FCER1G,c1_725
KIF27,c1_6
KIF27,c1_221
KIF27,c1_2
KIF27,c1_40
KIF27,c1_636
SHKBP1,c1_3
SHKBP1,c1_482
SHKBP1,c1_159
SHKBP1,c1_15
ALG11,c1_184
ALG11,c1_4
ALG11,c1_17
ALG11,c1_547
CLVS2,c1_3
CLVS2,c1_307
CLVS2,c1_89
CLVS2,c1_15
NEK10,c1_1021
NEK10,c1_188
NEK10,c1_4
NEK10,c1_17
NEK10,c1_608
LOC100363372,c1_5
LOC100363372,c1_29
SLC25A5,c1_214
SLC25A5,c1_5
SLC25A5,c1_31
ACIN1,c1_20
ACIN1,c1_192
ACIN1,c1_5
CNKSR1,c1_580
CNKSR1,c1_4
CNKSR1,c1_186
CNKSR1,c1_17
CNKSR1,c1_954
LOC100912195,c1_17
LOC100912195,c1_184
LOC100912195,c1_4
LOC100912195,c1_572
ABCE1,c1_105
ABCE1,c1_3
ABCE1,c1_762
ABCE1,c1_15
ABCE1,c1_363
DNPEP,c1_186
DNPEP,c1_4
DNPEP,c1_17
DNPEP,c1_586
RPL4,c1_184
RPL4,c1_546
RPL4,c1_17
RPL4,c1_4
RPL4,c1_911
AHDC1,c1_976
AHDC1,c1_186
AHDC1,c1_17
AHDC1,c1_4
AHDC1,c1_588
AIG1,c1_4
AIG1,c1_174
AIG1,c1_16
CFAP410,c1_3
CFAP410,c1_15
CFAP410,c1_166
ASXL1,c1_2
LARGE2,c1_221
LARGE2,c1_6
LARGE2,c1_637
LARGE2,c1_40
LARGE2,c1_2
KDM3B,c1_255
KDM3B,c1_11
KDM3B,c1_73
KDM3B,c1_2
EEF1D,c1_17
EEF1D,c1_547
EEF1D,c1_4
EEF1D,c1_184
EEF1D,c1_917
PTGFRN,c1_582
PTGFRN,c1_956
PTGFRN,c1_4
PTGFRN,c1_186
PTGFRN,c1_17
AABR07052523.1,c1_3
AABR07052523.1,c1_15
AABR07052523.1,c1_830
AABR07052523.1,c1_135
AABR07052523.1,c1_431
PPARD,c1_3
PPARD,c1_764
PPARD,c1_363
PPARD,c1_105
PPARD,c1_15
MDGA2,c1_121
MDGA2,c1_15
MDGA2,c1_3
CWF19L2,c1_519
CWF19L2,c1_16
CWF19L2,c1_4
CWF19L2,c1_174
GPRASP2,c1_15
GPRASP2,c1_3
GPRASP2,c1_123
WBP2,c1_3
WBP2,c1_15
WBP2,c1_96
PARS2,c1_15
PARS2,c1_3
PARS2,c1_97
TENT5C,c1_10
TENT5C,c1_2
XRCC2,c1_17
XRCC2,c1_186
XRCC2,c1_4
XRCC2,c1_593
B4GALT3,c1_17
B4GALT3,c1_591
B4GALT3,c1_186
B4GALT3,c1_985
B4GALT3,c1_4
KDELR1,c1_8
KDELR1,c1_2
RGD1309139,c1_236
RGD1309139,c1_54
RGD1309139,c1_2
RGD1309139,c1_8
AABR07054370.1,c1_3
AABR07054370.1,c1_15
AABR07054370.1,c1_158
DDIT4L2,c1_16
DDIT4L2,c1_171
DDIT4L2,c1_505
DDIT4L2,c1_4
PNP,c1_3
PNP,c1_15
PNP,c1_420
PNP,c1_128
CDKN1A,c1_2
CDKN1A,c1_6
ANXA6,c1_87
ANXA6,c1_15
ANXA6,c1_3
SSH2,c1_3
SSH2,c1_153
SSH2,c1_15
SSH2,c1_474
MANSC1,c1_6
MANSC1,c1_40
MANSC1,c1_2
EML2,c1_586
EML2,c1_17
EML2,c1_186
EML2,c1_968
EML2,c1_4
SGPL1,c1_160
SGPL1,c1_484
SGPL1,c1_3
SGPL1,c1_15
FAM114A1,c1_10
FAM114A1,c1_69
FAM114A1,c1_2
FAM114A1,c1_249
HELZ,c1_155
HELZ,c1_475
HELZ,c1_3
HELZ,c1_15
MAPK15,c1_8
MAPK15,c1_2
MAPK15,c1_54
MAPK15,c1_236
SUSD3,c1_3
SUSD3,c1_15
SUSD3,c1_90
DOK5,c1_333
DOK5,c1_3
DOK5,c1_99
DOK5,c1_15
MRPL28,c1_15
MRPL28,c1_3
MRPL28,c1_99
TAS1R2,c1_608
TAS1R2,c1_4
TAS1R2,c1_188
TAS1R2,c1_17
DYNLL1,c1_82
DYNLL1,c1_14
DYNLL1,c1_3
DGAT1,c1_20
DGAT1,c1_5
DGAT1,c1_192
FDX2,c1_131
FDX2,c1_15
FDX2,c1_3
WRNIP1,c1_17
WRNIP1,c1_186
WRNIP1,c1_4
WRNIP1,c1_592
NNT,c1_6
NNT,c1_223
NNT,c1_2
NNT,c1_41
RGD1561795,c1_40
RGD1561795,c1_637
RGD1561795,c1_221
RGD1561795,c1_6
RGD1561795,c1_2
HABP4,c1_15
HABP4,c1_404
HABP4,c1_122
HABP4,c1_3
HSPA4,c1_363
HSPA4,c1_3
HSPA4,c1_762
HSPA4,c1_15
HSPA4,c1_105
GAMT,c1_14
GAMT,c1_698
GAMT,c1_83
GAMT,c1_287
GAMT,c1_3
THYN1,c1_8
THYN1,c1_237
THYN1,c1_54
THYN1,c1_2
PTPRU,c1_533
PTPRU,c1_178
PTPRU,c1_4
PTPRU,c1_16
EXT1,c1_505
EXT1,c1_4
EXT1,c1_16
EXT1,c1_171
CCDC88A,c1_3
CCDC88A,c1_15
CCDC88A,c1_168
CYP7B1,c1_82
CYP7B1,c1_14
CYP7B1,c1_3
PSD2,c1_82
PSD2,c1_3
PSD2,c1_14
B4GALT5,c1_122
B4GALT5,c1_808
B4GALT5,c1_15
B4GALT5,c1_404
B4GALT5,c1_3
ADAMTS15,c1_582
ADAMTS15,c1_1135
ADAMTS15,c1_4
ADAMTS15,c1_17
ADAMTS15,c1_956
ADAMTS15,c1_186
NDUFA9,c1_3
NDUFA9,c1_15
NDUFA9,c1_146
NDUFA9,c1_456
MAPKAPK2,c1_11
MAPKAPK2,c1_2
MAPKAPK2,c1_253
MAPKAPK2,c1_72
DPYSL2,c1_99
DPYSL2,c1_334
DPYSL2,c1_3
DPYSL2,c1_736
DPYSL2,c1_15
GRIN2D,c1_126
GRIN2D,c1_15
GRIN2D,c1_817
GRIN2D,c1_3
GRIN2D,c1_414
TYK2,c1_5
TYK2,c1_26
MBD5,c1_3
MBD5,c1_82
MBD5,c1_14
CTNND1,c1_15
CTNND1,c1_3
CTNND1,c1_135
AC097784.1,c1_3
AC097784.1,c1_15
AC097784.1,c1_94
UQCRH,c1_3
UQCRH,c1_15
UQCRH,c1_146
UQCRH,c1_457
MALL,c1_2
FAM222A,c1_187
FAM222A,c1_4
FAM222A,c1_1012
FAM222A,c1_17
FAM222A,c1_603
ANKRD17,c1_15
ANKRD17,c1_93
ANKRD17,c1_317
ANKRD17,c1_3
PIK3CD,c1_17
PIK3CD,c1_188
PIK3CD,c1_1018
PIK3CD,c1_4
PIK3CD,c1_607
GBA,c1_702
GBA,c1_3
GBA,c1_86
GBA,c1_291
GBA,c1_15
COMT,c1_2
COMT,c1_221
COMT,c1_40
COMT,c1_636
COMT,c1_6
RBM34,c1_4
RBM34,c1_606
RBM34,c1_188
RBM34,c1_1173
RBM34,c1_1015
RBM34,c1_17
ZFP462,c1_300
ZFP462,c1_3
ZFP462,c1_87
ZFP462,c1_15
RHOQ,c1_188
RHOQ,c1_17
RHOQ,c1_1021
RHOQ,c1_608
RHOQ,c1_4
SLC10A4,c1_598
SLC10A4,c1_4
SLC10A4,c1_996
SLC10A4,c1_17
SLC10A4,c1_187
SPATA18,c1_646
SPATA18,c1_2
SPATA18,c1_53
SPATA18,c1_233
SPATA18,c1_8
ATP8B2,c1_5
ATP8B2,c1_31
FRAS1,c1_16
FRAS1,c1_505
FRAS1,c1_171
FRAS1,c1_4
ADGRE1,c1_15
ADGRE1,c1_3
ADGRE1,c1_308
ADGRE1,c1_90
CPT2,c1_68
CPT2,c1_2
CPT2,c1_246
CPT2,c1_10
JADE2,c1_91
JADE2,c1_15
JADE2,c1_3
BAALC,c1_323
BAALC,c1_3
BAALC,c1_95
BAALC,c1_15
ITGAL,c1_253
ITGAL,c1_72
ITGAL,c1_11
ITGAL,c1_2
ITGAL,c1_659
AGAP2,c1_30
AGAP2,c1_5
GPR137,c1_126
GPR137,c1_819
GPR137,c1_15
GPR137,c1_415
GPR137,c1_3
RGD1562029,c1_2
RGD1562029,c1_8
RGD1562029,c1_54
RGD1562029,c1_236
POLR3H,c1_15
POLR3H,c1_115
POLR3H,c1_3
SMAD1,c1_17
SMAD1,c1_4
SMAD1,c1_624
SMAD1,c1_188
TEX9,c1_3
TEX9,c1_366
TEX9,c1_767
TEX9,c1_106
TEX9,c1_15
PRPSAP2,c1_2
TMEM158,c1_587
TMEM158,c1_4
TMEM158,c1_17
TMEM158,c1_186
ELOVL2,c1_3
ELOVL2,c1_14
ELOVL2,c1_282
ELOVL2,c1_81
GABRG3,c1_358
GABRG3,c1_3
GABRG3,c1_15
GABRG3,c1_104
SFI1,c1_5
SFI1,c1_198
SFI1,c1_22
SFI1,c1_632
RGD1565616,c1_82
RGD1565616,c1_3
RGD1565616,c1_14
NDFIP2,c1_341
NDFIP2,c1_100
NDFIP2,c1_15
NDFIP2,c1_3
PDS5A,c1_105
PDS5A,c1_3
PDS5A,c1_15
PDS5A,c1_362
BEGAIN,c1_6
BEGAIN,c1_2
LARP4B,c1_15
LARP4B,c1_3
LARP4B,c1_141
LARP4B,c1_446
AC103535.1,c1_40
AC103535.1,c1_2
AC103535.1,c1_221
AC103535.1,c1_636
AC103535.1,c1_6
SEPTIN4,c1_79
SEPTIN4,c1_3
SEPTIN4,c1_14
SEPTIN4,c1_1070
SEPTIN4,c1_667
SEPTIN4,c1_261
GTF2F1,c1_17
GTF2F1,c1_927
GTF2F1,c1_554
GTF2F1,c1_184
GTF2F1,c1_4
LMBR1,c1_3
LMBR1,c1_340
LMBR1,c1_15
LMBR1,c1_100
GRIN3A,c1_95
GRIN3A,c1_3
GRIN3A,c1_324
GRIN3A,c1_15
GRIN3A,c1_733
STXBP2,c1_2
STXBP2,c1_10
SLC41A2,c1_891
SLC41A2,c1_4
SLC41A2,c1_526
SLC41A2,c1_175
SLC41A2,c1_16
SUGT1,c1_548
SUGT1,c1_4
SUGT1,c1_17
SUGT1,c1_184
AGL,c1_105
AGL,c1_3
AGL,c1_15
AGL,c1_362
MTX1,c1_15
MTX1,c1_94
MTX1,c1_320
MTX1,c1_731
MTX1,c1_3
COPA,c1_369
COPA,c1_107
COPA,c1_3
COPA,c1_15
SYT7,c1_16
SYT7,c1_178
SYT7,c1_4
SH3BGRL3,c1_15
SH3BGRL3,c1_124
SH3BGRL3,c1_3
SH3BGRL3,c1_406
HNRNPLL,c1_15
HNRNPLL,c1_144
HNRNPLL,c1_844
HNRNPLL,c1_453
HNRNPLL,c1_3
MSANTD4,c1_3
MSANTD4,c1_15
MSANTD4,c1_100
MSANTD4,c1_341
CHST12,c1_994
CHST12,c1_17
CHST12,c1_598
CHST12,c1_187
CHST12,c1_4
MORN4,c1_15
MORN4,c1_149
MORN4,c1_3
MORN4,c1_852
MORN4,c1_463
PGM3,c1_4
PGM3,c1_580
PGM3,c1_954
PGM3,c1_186
PGM3,c1_17
KANK2,c1_2
KANK2,c1_9
LRP12,c1_3
LRP12,c1_15
LRP12,c1_387
LRP12,c1_114
ZBTB47,c1_625
ZBTB47,c1_4
ZBTB47,c1_17
ZBTB47,c1_188
EIF3L,c1_2
EIF3L,c1_8
BAZ1A,c1_2
GALNT1,c1_81
GALNT1,c1_277
GALNT1,c1_3
GALNT1,c1_14
HK2,c1_90
HK2,c1_15
HK2,c1_3
PRKRIP1,c1_30
PRKRIP1,c1_5
LONP1,c1_398
LONP1,c1_3
LONP1,c1_117
LONP1,c1_15
ADGRB3,c1_399
ADGRB3,c1_798
ADGRB3,c1_15
ADGRB3,c1_119
ADGRB3,c1_3
AABR07033887.1,c1_14
AABR07033887.1,c1_79
AABR07033887.1,c1_3
GNG10,c1_4
GNG10,c1_175
GNG10,c1_16
TECR,c1_434
TECR,c1_3
TECR,c1_15
TECR,c1_137
SLC35A1,c1_2
SLC35A1,c1_6
MALT1,c1_29
MALT1,c1_5
ADAP1,c1_3
ADAP1,c1_15
ADAP1,c1_134
CNTNAP4,c1_174
CNTNAP4,c1_520
CNTNAP4,c1_16
CNTNAP4,c1_4
RGD1310819,c1_188
RGD1310819,c1_1015
RGD1310819,c1_1173
RGD1310819,c1_606
RGD1310819,c1_4
RGD1310819,c1_17
ZFP592,c1_142
ZFP592,c1_3
ZFP592,c1_448
ZFP592,c1_840
ZFP592,c1_15
PTPRO,c1_968
PTPRO,c1_586
PTPRO,c1_17
PTPRO,c1_186
PTPRO,c1_4
TAOK3,c1_186
TAOK3,c1_584
TAOK3,c1_4
TAOK3,c1_1147
TAOK3,c1_17
TAOK3,c1_961
TBC1D8B,c1_4
TBC1D8B,c1_186
TBC1D8B,c1_597
TBC1D8B,c1_17
ZMYND8,c1_15
ZMYND8,c1_485
ZMYND8,c1_160
ZMYND8,c1_3
RERE,c1_17
RERE,c1_188
RERE,c1_617
RERE,c1_4
UQCRQ,c1_4
UQCRQ,c1_184
UQCRQ,c1_17
UQCRQ,c1_558
EPB41L4B,c1_4
EPB41L4B,c1_188
EPB41L4B,c1_17
EPB41L4B,c1_624
CENPB,c1_14
CENPB,c1_668
CENPB,c1_79
CENPB,c1_3
CENPB,c1_261
GPHN,c1_110
GPHN,c1_375
GPHN,c1_3
GPHN,c1_15
TRIO,c1_4
TRIO,c1_534
TRIO,c1_178
TRIO,c1_16
PLXND1,c1_978
PLXND1,c1_17
PLXND1,c1_186
PLXND1,c1_589
PLXND1,c1_4
RGD1309104,c1_593
RGD1309104,c1_17
RGD1309104,c1_4
RGD1309104,c1_186
PFN1,c1_174
PFN1,c1_519
PFN1,c1_881
PFN1,c1_16
PFN1,c1_4
CLIP1,c1_831
CLIP1,c1_436
CLIP1,c1_15
CLIP1,c1_3
CLIP1,c1_138
TTLL9,c1_64
TTLL9,c1_2
TTLL9,c1_9
PMPCB,c1_954
PMPCB,c1_186
PMPCB,c1_17
PMPCB,c1_580
PMPCB,c1_4
CBFA2T2,c1_15
CBFA2T2,c1_3
CBFA2T2,c1_361
CBFA2T2,c1_105
NR2C2,c1_93
NR2C2,c1_15
NR2C2,c1_3
NR2C2,c1_318
TMEM17,c1_6
TMEM17,c1_2
AP1S1,c1_967
AP1S1,c1_17
AP1S1,c1_4
AP1S1,c1_186
AP1S1,c1_586
GDAP1L1,c1_4
GDAP1L1,c1_17
GDAP1L1,c1_186
GDAP1L1,c1_595
ZBBX,c1_8
ZBBX,c1_237
ZBBX,c1_54
ZBBX,c1_2
SEMA4F,c1_771
SEMA4F,c1_106
SEMA4F,c1_367
SEMA4F,c1_3
SEMA4F,c1_15
TTC23,c1_249
TTC23,c1_10
TTC23,c1_2
TTC23,c1_69
PGGHG,c1_6
PGGHG,c1_229
PGGHG,c1_2
PGGHG,c1_42
PLEKHH2,c1_28
PLEKHH2,c1_5
TERF2,c1_17
TERF2,c1_186
TERF2,c1_595
TERF2,c1_4
TERF2,c1_990
PAK7,c1_3
PAK7,c1_373
PAK7,c1_15
PAK7,c1_108
GJC2,c1_261
GJC2,c1_667
GJC2,c1_1070
GJC2,c1_3
GJC2,c1_79
GJC2,c1_14
DENND6B,c1_632
DENND6B,c1_5
DENND6B,c1_22
DENND6B,c1_198
WNT9A,c1_881
WNT9A,c1_174
WNT9A,c1_16
WNT9A,c1_519
WNT9A,c1_4
NRIP3,c1_86
NRIP3,c1_3
NRIP3,c1_290
NRIP3,c1_15
RAPGEF3,c1_81
RAPGEF3,c1_14
RAPGEF3,c1_281
RAPGEF3,c1_3
DDX6,c1_184
DDX6,c1_4
DDX6,c1_17
FH,c1_146
FH,c1_457
FH,c1_15
FH,c1_3
GPCPD1,c1_15
GPCPD1,c1_3
GPCPD1,c1_126
GPCPD1,c1_819
GPCPD1,c1_415
ODC1,c1_188
ODC1,c1_608
ODC1,c1_17
ODC1,c1_1022
ODC1,c1_4
SPIN1,c1_3
SPIN1,c1_14
SPIN1,c1_267
SPIN1,c1_79
LRRC4B,c1_188
LRRC4B,c1_1016
LRRC4B,c1_17
LRRC4B,c1_4
LRRC4B,c1_606
ABHD5,c1_72
ABHD5,c1_663
ABHD5,c1_254
ABHD5,c1_11
ABHD5,c1_2
RAB3B,c1_16
RAB3B,c1_519
RAB3B,c1_881
RAB3B,c1_174
RAB3B,c1_4
ICE1,c1_2
SHISA2,c1_2
SHISA2,c1_221
SHISA2,c1_40
SHISA2,c1_6
FOXG1,c1_3
FOXG1,c1_15
FOXG1,c1_431
FOXG1,c1_829
FOXG1,c1_135
TMEM125,c1_79
TMEM125,c1_14
TMEM125,c1_670
TMEM125,c1_262
TMEM125,c1_3
DNAJB6,c1_15
DNAJB6,c1_848
DNAJB6,c1_3
DNAJB6,c1_455
DNAJB6,c1_145
PLEKHM2,c1_3
PLEKHM2,c1_162
PLEKHM2,c1_15
PLEKHM2,c1_488
PRR5L,c1_670
PRR5L,c1_79
PRR5L,c1_262
PRR5L,c1_14
PRR5L,c1_3
DISP3,c1_4
DISP3,c1_188
DISP3,c1_1022
DISP3,c1_608
DISP3,c1_17
STARD4,c1_175
STARD4,c1_16
STARD4,c1_4
BHMT,c1_4
BHMT,c1_16
BHMT,c1_171
RGD1310352,c1_41
RGD1310352,c1_6
RGD1310352,c1_2
MAP2,c1_415
MAP2,c1_15
MAP2,c1_126
MAP2,c1_3
MRPL12,c1_15
MRPL12,c1_166
MRPL12,c1_3
NR3C1,c1_3
NR3C1,c1_15
NR3C1,c1_110
TCAM1,c1_13
TCAM1,c1_259
TCAM1,c1_77
TCAM1,c1_2
RASAL2,c1_4
RASAL2,c1_526
RASAL2,c1_16
RASAL2,c1_891
RASAL2,c1_175
RABGAP1,c1_363
RABGAP1,c1_3
RABGAP1,c1_105
RABGAP1,c1_15
RABGAP1,c1_764
CNR1,c1_86
CNR1,c1_290
